ID	linear_m	linear_wm	linear_NQI	nolinear_m	nolinear_wm	nolinear_NQI
asv7	0.57766330955292	0.590674349614819	0.572856542462875	0.517973035307435	0.545165521041474	0.503145256074459
asv12	-0.327569022096341	-0.309089767929347	-0.326384595037689	-0.359543911345313	-0.368831429652803	-0.356834410426752
asv15	0.301196585020414	0.28106992201488	0.306963210929443	0.331953791398775	0.308657571813129	0.345622231649368
asv21	-0.343998252668134	-0.349299695451126	-0.344128132469735	-0.355617036497132	-0.390760824392741	-0.346568155864151
asv24	-0.61460750934256	-0.606038691171245	-0.617286491380464	-0.649861187882527	-0.659367598668801	-0.650979292420626
asv36	-0.62373285427119	-0.624345849178618	-0.624043807550804	-0.601469695158881	-0.610567360644235	-0.595723131601607
asv41	-0.316323285159902	-0.317611112431551	-0.311890401900569	-0.32486367254272	-0.34688367304418	-0.309017469365762
asv53	-0.53981360427396	-0.534963626733886	-0.541578352391681	-0.576165975058532	-0.600933362656862	-0.571530491617879
asv66	-0.546060646861128	-0.543135560202725	-0.543819075751042	-0.52279068153072	-0.527740845439508	-0.512761091928953
asv69	0.752285981044646	0.751349224796755	0.754022609400782	0.733938038883417	0.739554964390932	0.73323437078584
asv78	-0.529330906470589	-0.532145337204277	-0.527091998671945	-0.514417393985769	-0.515111897954756	-0.499662319521343
asv82	-0.490131283174522	-0.491260571013609	-0.489006759989967	-0.50149817954325	-0.517143460641593	-0.489706759736241
asv89	-0.570924187616359	-0.560132253785316	-0.574245239502597	-0.606243939162581	-0.611700714698638	-0.610052839492781
asv92	0.376241430590769	0.384843295243284	0.374762213606059	0.368450410998701	0.386299261932061	0.361337518363774
asv98	0.407655557876065	0.392591868650474	0.410291338666948	0.391980137364788	0.37309308046353	0.397660908046273
asv100	-0.484145729656698	-0.481968638438626	-0.486528384565828	-0.529230171639945	-0.542542974638685	-0.52520151177993
asv112	-0.550323599376064	-0.53974233095907	-0.552887977713877	-0.605232090431021	-0.611318377045647	-0.602032426261176
asv114	0.721630816468544	0.714748241419321	0.723245526614511	0.722865251658859	0.731039944674758	0.721534319034338
asv116	0.483577651582712	0.496214367392203	0.479911382957003	0.429584192011387	0.456896925038787	0.423620746170888
asv166	0.525322952792334	0.528433854010443	0.527270407878676	0.498893620422477	0.508342716733182	0.499485288430519
asv171	-0.408543373328383	-0.400520629782017	-0.407328011962714	-0.44591580607964	-0.449196072834354	-0.438472670911768
asv263	-0.436894114927529	-0.441729286522314	-0.433866720706999	-0.436826409196972	-0.45739196827147	-0.420203558424553
asv264	-0.502561862137741	-0.486815191425792	-0.506040941741476	-0.554285660859778	-0.556548744834032	-0.555374364042812
asv291	0.665959281931905	0.666024279230826	0.666162689780194	0.628105505515881	0.634549601274314	0.623483966207711
asv341	0.357758930319614	0.357846494009767	0.355932493043853	0.307305374330181	0.31308193170125	0.30761774334358
asv362	-0.377643978000132	-0.36610372672863	-0.381288781773655	-0.455848766341438	-0.457688988278594	-0.455127394664675
asv365	0.497616792712144	0.518654895357072	0.492524764888699	0.403071838957514	0.431295847296946	0.394116714911588
asv730	0.512808631785882	0.525221014364886	0.507761740716382	0.467613040550555	0.494712309684519	0.456707973901097
